"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Acanthacris_ruficornis",4,218.535108,225.040812524525,49.3961959364382,349,-0.131704565527594,0.349,999
"Achatina_fulica",76,69.6073161842105,81.7315091591723,9.02609228294962,86,-1.34323831342435,0.086,999
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,999
"Agriotes_lineatus",22,73.1253936363636,136.16471258645,21.9857285680179,2,-2.86728359967967,0.002,999
"Agrotis_segetum",48,67.7267043333333,100.514657847973,12.4231419420188,6,-2.63926417871319,0.006,999
"Albonectria_rigidiuscula",27,106.260014814815,125.451842352871,18.8048587540106,173,-1.02057812765881,0.173,999
"Aleurocanthus_spiniferus",7,137.457525714286,196.978829751752,40.2960014668804,92,-1.47710199202735,0.092,999
"Alfalfa_mosaic_virus",35,43.2342399428571,113.609118541513,15.0291241497241,1,-4.68256685469909,0.001,999
"Alternaria_alternata",245,43.1721774040816,47.4460094533922,2.95329442615409,74,-1.44714052600442,0.074,999
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,999
"Ameroseius_sp.",1,NA,NA,NA,NA,NA,NA,999
"Ampeloglypter_ater",2,0.594936,270.305882753754,85.9896735166391,1,-3.13655042197089,0.001,999
"Ampelophaga_rubiginosa",2,0.594936,280.786744485485,81.7541294278393,2,-3.42724961352317,0.002,999
"Amphicerus_bimaculatus",2,233.75492,275.597228118118,85.5043876032091,227,-0.489358608265708,0.227,999
"Amphicerus_hamatus",1,NA,NA,NA,NA,NA,NA,999
"Amyelois_transitella",5,188.2523624,216.551287238238,45.0989767386411,255,-0.627484854085204,0.255,999
"Anacridium_rubrispinum",3,281.358774,242.085194684685,56.0149485859334,684,0.701126758244991,0.684,999
"Anastrepha_fraterculus",41,81.0160185121951,106.982212680119,13.891599174085,32,-1.86920122316546,0.032,999
"Anomala_cuprea",3,236.156657333333,241.90226050951,57.8063180809303,478.5,-0.0993940345436323,0.4785,999
"Anomala_dubia",1,NA,NA,NA,NA,NA,NA,999
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,999
"Anystis_baccarum",2,233.75492,273.913870133133,84.7019086523178,229.5,-0.474120958690276,0.2295,999
"Aonidiella_aurantii",67,87.2175037014925,86.9404595722887,9.57157596062788,506,0.0289444633092225,0.506,999
"Aonidiella_inornata",14,172.612013071429,158.314087418275,29.7995902989813,680,0.479802759356793,0.68,999
"Aonidiella_orientalis",62,97.2141188548387,90.0638347725629,10.3013075559333,737,0.694114222243316,0.737,999
"Apate_monachus",22,118.108497409091,135.910446668942,22.151324004376,192,-0.80365170300132,0.192,999
"Aphis_fabae",41,55.9557359756098,106.92176881125,14.6245999798115,2,-3.48495226577114,0.002,999
"Aphis_gossypii",67,81.9017695671642,86.6687916508449,9.74616336595675,316,-0.489117810227957,0.316,999
"Aphis_illinoisensis",1,NA,NA,NA,NA,NA,NA,999
"Aphis_spiraecola",33,62.8050753030303,116.862943549944,16.007921337334,1,-3.37694489545241,0.001,999
"Apolygus_spinolae",4,207.62720925,225.723921951451,49.7609641722191,286,-0.36367287094398,0.286,999
"Arabis_mosaic_virus",23,134.026396478261,133.432491819863,20.5594082290928,511,0.0288872447971099,0.511,999
"Arboridia_adanae",1,NA,NA,NA,NA,NA,NA,999
"Arboridia_kakogawana",1,NA,NA,NA,NA,NA,NA,999
"Argyrotaenia_ljungiana",5,61.2326088,215.192703855656,46.7361409922804,4,-3.29424064090113,0.004,999
"Armillaria_luteobubalina",12,117.784728833333,166.723332529863,31.6519921595247,70,-1.54614608299792,0.07,999
"Armillaria_mellea",106,66.2072923018868,70.1874335129658,6.98694324811455,262,-0.56965414913783,0.262,999
"Artichoke_Italian_latent_virus",2,238.331013,276.685817461461,85.3493905457857,422.5,-0.449385803650069,0.4225,999
