"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Acanthacris_ruficornis",4,226.7688035,238.611304073827,55.114422253184,362,-0.214871173273403,0.362,999
"Achatina_fulica",134,76.7917436786154,95.5748207990845,6.82522577627613,3,-2.75200817323251,0.003,999
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,999
"Adoretus_sinicus",40,115.18335492532,145.145347452301,17.1854147752892,47,-1.74345472127114,0.047,999
"Agriotes_lineatus",26,80.0560500769231,166.264038965879,21.6596796378431,1,-3.98011375654588,0.001,999
"Agrotis_segetum",67,80.3801007313552,122.77157475734,12.0876546687446,1,-3.50700571679944,0.001,999
"Albonectria_rigidiuscula",60,85.74410688344,127.047268056812,12.8590810719151,1,-3.21198388457015,0.001,999
"Aleurocanthus_spiniferus",15,172.101013866667,187.968479681208,29.5787897599383,299,-0.53644743220806,0.299,999
"Alfalfa_mosaic_virus",70,65.6668654142857,120.876834510192,11.8805128193116,1,-4.64710319626631,0.001,999
"Alternaria_alternata",813,39.7939138804048,47.8373290673313,1.66846838263442,1,-4.82083764405919,0.001,999
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,999
"Ameroseius_pavidus",1,NA,NA,NA,NA,NA,NA,999
"Ametastegia",15,142.446275333333,188.625820687929,29.8033839169471,49,-1.54947322368775,0.049,999
"Ampelophaga_rubiginosa",5,119.136774,230.241165648386,47.3116108228853,6,-2.34835360107085,0.006,999
"Amphicerus_bicaudatus",1,NA,NA,NA,NA,NA,NA,999
"Amphicerus_bimaculatus",2,242.574508,274.441869233036,114.907591217446,296,-0.277330339061162,0.296,999
"Amyelois_transitella",5,201.3679802,232.62965806484,49.2430499301631,212,-0.634844468593557,0.212,999
"Anacridium_rubrispinum",4,247.1012635,234.605833710609,54.2999546185885,721,0.230118604650052,0.721,999
"Anastrepha_fraterculus",65,73.8928677230769,123.752437506746,12.0904016210466,1,-4.12389690156156,0.001,999
"Anomala_cuprea",5,279.4013474,228.646153345828,46.4301230939333,875,1.09315226133449,0.875,999
"Anomala_dubia",2,650.100056,276.446943938942,125.763283760797,952.5,2.97108266329741,0.9525,999
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,999
"Anystis_baccarum",2,242.574508,264.854321546537,105.304193683359,328.5,-0.211575748004208,0.3285,999
"Aonidiella_aurantii",227,63.3188965374408,78.0120481701197,4.42461564792748,1,-3.32077468459012,0.001,999
"Aonidiella_inornata",31,159.283932954832,156.993924392862,20.2457851737178,533,0.11311038531335,0.533,999
"Aonidiella_orientalis",231,62.445331286128,77.3859120866481,4.64684260489875,1,-3.21521128879415,0.001,999
"Apate_monachus",31,116.215134432258,157.479670337557,19.2939096942897,19,-2.13873375376645,0.019,999
"Aphis_fabae",49,70.794152714298,135.60031738281,14.114373697129,1,-4.59150126382822,0.001,999
"Aphis_gossypii",87,74.0772668704455,112.128060348041,9.73121933456683,1,-3.91017735490076,0.001,999
"Aphis_illinoisensis",1,NA,NA,NA,NA,NA,NA,999
"Aphis_spiraecola",49,76.1096642040817,136.097480774167,14.2877118233254,1,-4.19856008518819,0.001,999
"Arabis_mosaic_virus",45,121.96084228892,139.376691968899,15.3184645485463,131,-1.13691875741109,0.131,999
"Arboridia_adanae",1,NA,NA,NA,NA,NA,NA,999
"Arboridia_kakogowana",1,NA,NA,NA,NA,NA,NA,999
"Argyrotaenia_ljungiana",6,174.884002,222.683874328467,44.2351321669839,127,-1.08058617634568,0.127,999
"Armillaria_luteobubalina",93,76.2621645591398,108.881220540031,9.01882197747105,1,-3.61677567894941,0.001,999
"Armillaria_mellea",575,40.6255061148078,54.5276374253633,2.1560411572953,1,-6.44798976286494,0.001,999
"Artichoke_Italian_latent_virus",11,106.740610545455,203.88811172807,35.9128924842717,2,-2.70508707214719,0.002,999
"Aspergillus_niger",203,69.9262386357762,81.1718852226213,4.97534421538624,12,-2.26027508851909,0.012,999
"Aspidiotus_destructor",187,71.3915131863048,83.9333855041755,5.49243654020488,8,-2.28348060575005,0.008,999
"Aspidiotus_ligusticus",4,241.161488,238.909427082977,53.8849982156464,594,0.0417938385747054,0.594,999
"Aspidiotus_nerii",464,48.3682360264122,59.0788337325125,2.48578486036032,1,-4.30873881199347,0.001,999
"Asterococcus_muratae",17,147.553449352918,183.949873635479,28.209173624568,84,-1.29023362282625,0.084,999
"Asymmetrasca_decedens",15,94.6230533333333,189.413373652785,28.3455832982655,1,-3.34409489203393,0.001,999
"Autographa_gamma",27,91.7874466296407,163.60644544698,21.7350623798633,1,-3.3042922795509,0.001,999
"Bactrocera_tryoni",119,59.1935499019198,99.141007435401,7.66907529705206,1,-5.20890146284477,0.001,999
"Botryosphaeria_dothidea",309,49.7566290411223,69.1542906355258,3.70043609343222,1,-5.24199340419138,0.001,999
"Botryosphaeria_obtusa",217,48.7208941940682,79.2434588399372,4.60858584573977,1,-6.62297842929072,0.001,999
"Botryosphaeria_parva",145,61.336593420731,92.6372691654561,6.10347608120557,1,-5.12833593976214,0.001,999
"Botryosphaeria_stevensii",73,65.444099690411,118.017527029828,10.2233652449961,1,-5.14247765579441,0.001,999
